wordles,irate,atone,sound,later,snare
panic,5,4,3,3,5
solar,4,3,3,2,3
shire,3,3,3,3,3
proxy,4,5,4,5,4
point,3,2,2,3,3
robot,4,5,5,4,3
prick,4,4,5,4,4
wince,3,4,6,6,5
crimp,4,4,5,4,4
knoll,3,5,5,3,4
sugar,4,3,3,3,2
whack,4,4,4,5,4
mount,3,4,4,4,4
perky,6,5,6,4,5
could,3,4,3,4,3
wrung,4,4,4,4,4
light,3,3,3,2,3
those,3,2,2,3,3
moist,4,4,5,3,3
shard,6,5,4,6,6
pleat,4,5,5,5,4
aloft,4,4,4,3,4
skill,3,3,4,3,4
elder,4,4,3,3,6
frame,3,4,3,4,3
humor,4,4,3,3,4
pause,4,3,3,3,3
