,wordles,irate,atone,sound,later,snare,,
154,surer,5,5,4,6,4,,
155,radio,3,4,3,3,3,,
156,rouge,4,3,4,5,4,,
157,perch,5,4,5,4,4,,
158,retch,4,4,5,3,4,,
159,wrote,2,4,3,4,3,,
160,clock,3,3,4,5,3,,
161,tilde,3,4,4,4,3,,
162,store,3,2,2,3,2,,
163,prove,3,4,3,3,3,,
164,bring,3,3,4,3,3,,
165,solve,3,3,3,4,4,,
166,cheat,3,3,4,4,4,,
167,grime,6,5,5,6,6,,
168,exult,5,5,3,4,3,,
169,usher,4,4,4,5,4,,
170,epoch,4,3,5,4,4,,
171,triad,3,5,4,4,4,,
172,break,3,4,3,3,4,,
173,rhino,4,3,3,3,3,,
174,viral,3,4,4,3,4,,
175,conic,3,5,5,3,5,,
176,masse,4,6,5,4,5,,
177,sonic,3,3,3,3,4,,
178,vital,3,3,4,3,3,,
179,trace,3,4,3,4,3,,
180,using,3,3,2,3,3,,
181,peach,4,5,5,4,5,,
182,champ,4,4,4,3,4,,
183,baton,3,3,3,4,5,,
184,brake,4,5,5,5,5,,
185,pluck,3,4,5,4,3,,
186,craze,7,5,6,8,6,,
187,gripe,3,5,4,3,3,,
188,weary,3,4,5,3,5,,
189,picky,5,5,4,4,5,,
190,acute,3,2,3,3,3,,
191,ferry,7,6,7,7,7,,
192,aside,4,5,3,4,3,,
193,tapir,3,3,4,3,4,,
194,troll,4,4,4,3,3,,
195,unify,4,4,4,3,3,,
196,rebus,5,4,4,5,4,,
197,boost,3,4,3,4,4,,
198,truss,6,3,4,3,3,,
199,siege,4,4,4,4,5,,
200,tiger,3,3,4,3,4,,
201,banal,4,5,4,5,5,,
202,slump,4,4,5,5,3,,
203,crank,4,3,5,4,5,,
204,gorge,6,6,5,8,8,,
205,query,3,4,3,4,3,,
206,drink,4,4,2,4,4,,
207,favor,4,5,5,3,5,,
208,abbey,5,5,4,5,5,,
209,tangy,8,4,5,4,4,,
210,panic,5,4,3,3,5,,
211,solar,4,3,3,2,3,,
212,shire,3,3,3,3,3,,
213,proxy,4,5,4,5,4,,
214,point,3,2,2,3,3,,
215,robot,4,5,5,4,3,,
216,prick,4,4,5,4,4,,
217,wince,3,4,6,6,5,,
218,crimp,4,4,5,4,4,,
219,knoll,3,5,5,3,4,,
220,sugar,4,3,3,3,2,,
221,whack,4,4,4,5,4,,
222,mount,3,4,4,4,4,,
223,perky,6,5,6,4,5,,
224,could,3,4,3,4,3,,
225,wrung,4,4,4,4,4,,
226,light,3,3,3,2,3,,
227,those,3,2,2,3,3,,
228,moist,4,4,5,3,3,,
229,shard,6,5,4,6,6,,
230,pleat,4,5,5,5,4,,
231,aloft,4,4,4,3,4,,
232,skill,3,3,4,3,4,,
233,elder,4,4,3,3,6,,
234,frame,3,4,3,4,3,,
235,humor,4,4,3,3,4,,
236,pause,4,3,3,3,3,,
237,peach,4,5,5,4,5,,
238,showy,4,4,4,4,4,,
239,creak,6,5,6,6,6,,
240,manor,5,3,4,4,4,,
241,atoll,4,3,4,3,4,,
242,bayou,4,5,3,5,4,,
243,crept,5,4,4,4,6,,
244,tiara,3,4,3,3,4,,
245,asset,3,3,3,2,4,,
246,vouch,4,5,4,4,4,,
247,album,3,3,3,3,3,,
248,hinge,4,3,5,4,4,,
249,money,4,3,3,3,4,,
250,scrap,4,5,6,4,6,,
251,gamer,5,4,6,4,6,,
252,glass,4,4,4,4,3,,
253,scour,3,3,3,3,3,,
254,being,3,2,3,3,2,,
255,delve,5,5,4,5,5,,
256,yield,4,4,4,4,4,,
257,metal,3,4,3,2,3,,
258,tipsy,4,3,4,5,4,,
259,slung,3,5,6,3,6,,
260,farce,6,4,6,7,5,,
261,gecko,4,4,5,4,5,,
262,shine,3,3,5,4,3,,
263,canny,4,4,8,5,9,,
264,midst,4,5,3,4,4,,
265,badge,4,4,4,4,4,,
266,homer,6,5,6,6,3,,
267,train,2,3,4,4,3,,
268,hairy,3,3,3,3,3,,
269,story,2,3,3,3,2,,
270,forgo,5,4,5,4,4,,
271,larva,6,3,5,4,5,,
272,trash,4,5,4,4,3,,
273,zesty,3,4,4,4,4,,
274,shown,3,3,2,3,3,,
275,heist,4,4,4,3,4,,
276,askew,4,4,4,5,4,,
277,inert,3,3,4,4,3,,
278,olive,4,3,3,4,3,,
279,plant,4,3,4,3,4,,
280,oxide,4,4,3,4,3,,
281,cargo,6,3,4,5,4,,
282,foyer,10,9,9,9,8,,
283,flair,4,5,5,5,4,,
284,ample,4,3,4,3,4,,
285,cheek,4,5,5,4,4,,
286,shame,6,5,7,4,7,,
287,mince,5,5,7,7,6,,
288,chunk,4,4,3,4,5,,
289,royal,3,3,4,3,4,,
290,squad,3,3,2,4,3,,
291,black,3,3,4,2,3,,
292,stair,2,3,3,3,2,,
293,scare,4,4,5,5,4,,
294,foray,5,5,5,4,4,,
295,comma,4,5,5,5,5,,
296,natal,5,4,5,3,5,,
297,shawl,4,4,4,5,3,,
298,fewer,4,5,5,5,5,,
299,trope,4,4,5,6,4,,
300,snout,3,4,2,4,4,,
301,lowly,4,4,4,5,4,,
302,stove,5,3,3,5,4,,
303,shall,4,4,4,4,3,,
304,found,3,2,2,3,3,,
305,nymph,4,3,4,4,3,,
306,epoxy,3,4,4,3,3,,
307,depot,3,3,5,4,3,,
308,purge,6,6,5,4,3,,
309,slosh,4,4,4,4,4,,
310,their,2,2,3,2,3,,
311,renew,3,4,4,3,3,,
312,allow,3,3,3,4,3,,
313,saute,3,4,4,3,3,,
314,movie,4,3,3,3,3,,
315,cater,5,5,5,3,5,,
316,tease,3,4,4,3,5,,
317,smelt,5,6,5,4,4,,
318,focus,3,3,2,3,4,,
319,today,3,2,2,3,3,,
320,watch,3,3,3,2,3,,
321,lapse,4,4,4,3,4,,
322,month,3,3,3,3,3,,
323,sweet,4,4,5,4,5,,
324,hoard,3,4,4,3,3,,
325,cloth,3,3,4,3,3,,
326,brine,5,4,3,5,4,,
327,ahead,4,3,3,3,3,,
328,mourn,4,4,2,4,3,,
329,nasty,3,3,3,3,4,,
330,rupee,5,5,4,4,3,,
331,choke,3,3,5,4,3,,
332,chant,4,3,4,4,4,,
333,spill,4,4,5,4,4,,
334,vivid,5,3,3,4,4,,
335,bloke,4,4,4,5,4,,
336,thorn,3,3,3,4,3,,
337,other,2,2,3,2,2,,
338,tacit,4,4,5,4,3,,
339,swill,6,6,7,6,5,,
340,dodge,3,6,4,3,3,,
341,shake,5,6,6,6,6,,
342,caulk,6,5,5,4,5,,
343,aroma,4,4,4,4,4,,
344,cynic,4,4,4,4,4,,
345,robin,3,3,4,3,4,,
346,ultra,2,4,3,2,3,,
347,ulcer,5,5,5,5,6,,
,,,,,,,,Me
,1,0,0,0,0,0,,0
,2,20,14,14,22,10,,10
,3,109,98,94,107,122,,33
,4,136,139,133,134,131,,47
,5,52,70,75,54,53,,27
,6,23,20,25,21,23,,10
,7,5,4,4,7,4,,5
,8,2,2,2,2,4,,
,9,0,1,1,1,1,,
,10,1,0,0,0,0,,
,11,0,0,0,0,0,,
,Tot,348,348,348,348,348,,132
,Win Pct,97.70114943,97.98850575,97.98850575,97.12643678,97.4137931,,96.21212121
